State,Constituency,Candidate,Party,Votes
MP,BEOHARI,AJEET KUMAR (ASHOK),Nirbal Indian Shoshit Hamara Aam Dal,4930
,,,,
MP,BEOHARI,DEVIDEEN BAIGA,Sapaks Party,3151
,,,,
MP,BEOHARI,DASHRATH SINGH MARAVI,Aam Aadmi Party,2549
,,,,
MP,BEOHARI,KESHAV KOL,Independent,2317
,,,,
MP,BEOHARI,GOPAL SINGH NETAM,Bhartiya Shakti Chetna Party,2252
,,,,
MP,BEOHARI,RAMADHAR,Independent,1472
,,,,
MP,BEOHARI,KALAVATI,Independent,1438
,,,,
MP,BEOHARI,ARUN KUMAR SINGH MARAVI,Peoples Party of India (Democratic),757
,,,,
MP,BEOHARI,None of the Above,None of the Above,4474
,,,,
MP,BERASIA,VISHNU KHATRI,Bharatiya Janata Party,77814
,,,,
MP,BERASIA,JAYSHREE HARIKARAN,Indian National Congress,64035
,,,,
MP,BERASIA,"BRAHAMANAND RATNAKAR ""BRAHAMMA BHAIYA""",Independent,11815
,,,,
MP,BERASIA,ANITA AHIRWAR,Bahujan Samaj Party,3199
,,,,
MP,BERASIA,TORAN SINGH AHIRWAR,Rashtriya Lok Samta Party,1540
,,,,
MP,BERASIA,DAYA RAM MEHAR,Independent,1096
,,,,
MP,BERASIA,SARDAR SING CHOUHAN,Bhartiya Veer Dal,871
,,,,
MP,BERASIA,SHIVNARAYAN AHIRWAR (SHIBBU BHAIYA),Aam Aadmi Party,700
,,,,
MP,BERASIA,None of the Above,None of the Above,1835
,,,,
MP,BETUL,NILAY VINOD DAGA,Indian National Congress,96717
,,,,
