,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
89,93,Khandar,JITENDRA KUMAR GOTHWAL,Bharatiya Janata Party,27949,19342,JITENDRA KUMAR GOTHWAL,Bharatiya Janata Party,Rajasthan,ASHOK,Indian National Congress
90,37,Khandela,BANSHIDHAR BAJIYA,Bharatiya Janata Party,4348,35394,BANSHIDHAR,Bharatiya Janata Party,Rajasthan,MAHADEO SINGH,Independent
91,199,Khanpur,SURESH,Indian National Congress,2265,30956,NARENDRA NAGAR,Bharatiya Janata Party,Rajasthan,NARENDRA NAGAR,Bharatiya Janata Party
92,151,Kherwara ,NANALAL AHARI,Bharatiya Janata Party,24991,11166,NANA LAL AHARI,Bharatiya Janata Party,Rajasthan,DAYARAM PARMAR,Indian National Congress
93,31,Khetri,DHARMPAL,Bharatiya Janata Party,957,7850,POORANMAL SAINI,Bahujan Samaj Party,Rajasthan,JITENDRA SINGH,Indian National Congress
94,110,Khinwsar,SAVAI SINGH CHAUDHARY,Indian National Congress,16948,23020,HANUMAN BENIWAL,Independent,Rajasthan,HANUMAN BENIWAL,Rashtriya Loktantrik Party
95,52,Kishan pole,MOHAN LAL GUPTA,Bharatiya Janata Party,8770,9685,MOHAN LAL GUPTA,Bharatiya Janata Party,Rajasthan,AMIN KAGZI,Indian National Congress
96,194,Kishanganj ,LALIT MEENA,Bharatiya Janata Party,14136,12982,LALIT KUMAR,Bharatiya Janata Party,Rajasthan,NIRMALA SAHARIYA,Indian National Congress
97,98,Kishangarh,VIKASH CHOUDHARY,Bharatiya Janata Party,17452,31074,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,Rajasthan,SURESH TAK,Independent
98,60,Kishangarh bas,RAMHET SINGH YADAV,Bharatiya Janata Party,9916,14816,RAMHET SINGH YADAV,Bharatiya Janata Party,Rajasthan,DEEPCHAND,Bahujan Samaj Party
99,15,Kolayat,POONAM KANWAR BHATI,Bharatiya Janata Party,11016,1134,BHANWAR SINGH,Indian National Congress,Rajasthan,BHANWAR SINGH BHATI,Indian National Congress
100,189,Kota North,PRAHLAD GUNJAL,Bharatiya Janata Party,17945,14861,PRAHLAD GUNJAL,Bharatiya Janata Party,Rajasthan,SHANTI KUMAR DHARIWAL,Indian National Congress
101,190,Kota South,RAKHI GAUTAM,Indian National Congress,7534,49439,OM BIRLA,Bharatiya Janata Party,Rajasthan,SANDEEP SHARMA,Bharatiya Janata Party
102,40,Kotputli ,MUKESH GOYAL,Bharatiya Janata Party,13876,24687,RAJENDRA SINGH YADAV,Indian National Congress,Rajasthan,RAJENDRA SINGH YADAV,Indian National Congress
103,174,Kumbhalgarh,GANESH SINGH,Indian National Congress,18443,27606,SURENDRA SINGH RATHORE,Bharatiya Janata Party,Rajasthan,SURENDRA SINGH RATHORE,Bharatiya Janata Party
104,166,Kushalgarh ,BHIMA BHAI,Bharatiya Janata Party,18950,708,BHIMA BHAI,Bharatiya Janata Party,Rajasthan,RAMILA KHADIYA,Independent
