RAMESH KUMAR LAHARE,Bilha,Independent,313

NIRANJAN KUMAR SAHU,Bilha,Independent,313

NARENDRA SHANDEY,Bilha,Janata Congress,311

B.P. VISHWAKARMA,Bilha,Independent,273

RAM CHARAN KENVAT,Bilha,Aap Sabki Apni Party,247

RAJKUMAR NAVRANG,Bilha,Rashtriya Jansabha Party,241

VINOD KUMAR SAHU,Bilha,Independent,233

MANIRAM GHRITLAHRE,Bilha,Bharatiya Sadbhawana Samaj Party,205

LAHARGANGA SONI,Bilha,Independent,195

RAJKUMAR YADAV,Bilha,Independent,159

LAXMAN DAS MANDLE,Bilha,Independent,139

ROOPDAS KURREY,Bilha,Independent,104

None of the Above,Bilha,None of the Above,1224

DAMARUDHAR PUJARI,Bindranawagarh,Bharatiya Janata Party,79619

SANJAY NETAM,Bindranawagarh,Indian National Congress,69189

ONKAR SHAH,Bindranawagarh,Gondvana Gantantra Party,19022

DEVENDRA THAKUR,Bindranawagarh,Bahujan Samaj Party,2752

SIYARAM NAGESH,Bindranawagarh,Aam Aadmi Party,2378

BHOJLAL NETAM,Bindranawagarh,Communist Party of India (Marxist-Leninist) Red Star,2083

None of the Above,Bindranawagarh,None of the Above,5515

RAM KUMAR YADAV,Chandrapur,Indian National Congress,51717

GITANJALI PATEL,Chandrapur,Bahujan Samaj Party,47299

BAHU RANI SANYOGITA SINGH JUDEV,Chandrapur,Bharatiya Janata Party,39638

SUMAN NOVEL VERMA,Chandrapur,Nationalist Congress Party,14429

RAJKUMAR YADAV,Chandrapur,Independent,1779

MANHARAN LAL KAMLESH,Chandrapur,Independent,690

ABHINAV SHUKLA,Chandrapur,Shiv Sena,611

BHANU PRAKASH CHANDRA,Chandrapur,Aam Aadmi Party,588

PAITRAM KHUNTE,Chandrapur,Independent,575

RAMKUMAR YADAV,Chandrapur,Independent,547

NAVEL KUMAR PANKAJ,Chandrapur,Independent,507

SUNDAR LAL CHOUHAN,Chandrapur,Independent,504

SATAYANAND SIDAR,Chandrapur,Ambedkarite Party of India,485

BALWANT SINGH,Chandrapur,Gondvana Gantantra Party,426

DADULAL TANDAN,Chandrapur,Independent,395

UMA KANT SAHU,Chandrapur,Bhartiya Shakti Chetna Party,387

SITA SARTHI,Chandrapur,Bharat Bhoomi Party,357

GEETANJALI PATEL,Chandrapur,Independent,346

None of the Above,Chandrapur,None of the Above,550

DEEPAK  BAIJ,Chitrakot,Indian National Congress,62616

LACHHURAM KASHYAP,Chitrakot,Bharatiya Janata Party,44846

TANKESHWAR BHARDWAJ,Chitrakot,Janta Congress Chhattisgarh (J),7494

DHARMURAM KASHYAP,Chitrakot,Independent,3032

SURESH KAWASI ALIAS SARGEEM KAWASI,Chitrakot,Shiv Sena,2297

LAKHESHWAR KAWASI,Chitrakot,Ambedkarite Party of India,1791

DANTIRAM POYAM,Chitrakot,Aam Aadmi Party,1517

None of the Above,Chitrakot,None of the Above,9824

BHIMA MANDAVI,Dantewara,Bharatiya Janata Party,37990

DEVATI KARMA,Dantewara,Indian National Congress,35818

NANDA RAM SORI,Dantewara,Communist Party of India,12195

KESHAV NETAM,Dantewara,Bahujan Samaj Party,6119

BALOO RAM BHAWANI,Dantewara,Aam Aadmi Party,4903

JAYA KASHYAP,Dantewara,Independent,3555

SUDHRU RAM KUNJAM,Dantewara,Bhartiya Panchyat Party,3154

None of the Above,Dantewara,None of the Above,9929

RANJANA DIPENDRA  SAHU,Dhamtari,Bharatiya Janata Party,63198

GURUMUKH SINGH HORA,Dhamtari,Indian National Congress,62734

ANAND PAWAR,Dhamtari,Independent,29163

DIGVIJAY SINGH KRIDUTT,Dhamtari,Janta Congress Chhattisgarh (J),3299

RAJESHWARI DOMAN SAHU,Dhamtari,Independent,2856

TIRATH RAJ FUTAN (GADDI),Dhamtari,Independent,2061

SHATRUHAN SINGH SAHU,Dhamtari,Aam Aadmi Party,1736

BHAGESH BAID,Dhamtari,Independent,1585

RANJANA SAHU,Dhamtari,Independent,1189

KEWAL SINGH NETAM,Dhamtari,Gondvana Gantantra Party,812

